Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
03/03/2017,"86 MULLAGHMATT, MONAGHAN",,Monaghan,"€65,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
12/03/2020,"13 FABER GROVE, DUN LAOGHAIRE, DUBLIN",,Dublin,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/07/2010,"32 Allenton Drive, Tallaght",Dublin 24,Dublin,"€194,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/10/2019,"15 An Fuaran, Dublin Road, Oranmore",,Galway,"€345,010.00",No,Yes,New Dwelling house /Apartment,
11/07/2019,"CHERRYORCHARD, ENNISCORTHY, WEXFORD",,Wexford,"€172,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/10/2018,"7 CONVENT VIEW, ATHY, KILDARE",,Kildare,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/04/2019,"25 GRAND CANAL WHARF, SOUTH DOCK RD, RINGSEND DUBLIN 4",Dublin 4,Dublin,"€425,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/12/2019,"66 THE MALTHOUSE, MARROWBONE LANE, DUBLIN 8",Dublin 8,Dublin,"€204,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/10/2021,"GERNONSTOWN, SLANE, MEATH",,Meath,"€310,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/11/2021,"107 COLLEGE HILL, MULLINGAR, WESTMEATH",,Westmeath,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/02/2014,"10 GRATTAN TERRACE, DUNTAHEEN RD, FERMOY",,Cork,"€60,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/08/2020,"23 Dodderbrook Lawn, Old Court Road, Ballycullen",,Dublin,"€361,233.48",No,Yes,New Dwelling house /Apartment,
05/05/2017,"THE SHOP, MAIN STREET, STONEYFORD",,Kilkenny,"€22,500.00",No,No,Second-Hand Dwelling house /Apartment,
27/07/2017,"13 RICHMOND HALL, MOUNT ST ANNES, MILLTOWN DUBLIN 6",Dublin 6,Dublin,"€301,762.11",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
11/03/2013,"106 Louisa Park, Station Road, Leixlip",,Kildare,"€76,500.00",No,No,Second-Hand Dwelling house /Apartment,
13/04/2017,"Apartment 78 Neptune Block, Honeypark, Dun-Laoghaire",,Dublin,"€308,370.04",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
