DateofSale,Address,County,Price,NotFullMarketPrice,VATExclusive,DescriptionofProperty,formatted_address
2017-3-3,"86 MULLAGHMATT, MONAGHAN",Monaghan,65000,Yes,No,Second-Hand Dwelling house /Apartment,"86 Mullaghmatt, Monaghan, Ireland"
2020-12-3,"13 FABER GROVE, DUN LAOGHAIRE, DUBLIN",Dublin,320000,No,No,Second-Hand Dwelling house /Apartment,"13 Faber Grove, Dún Laoghaire, Dublin, A96 V8N4, Ireland"
2010-9-7,"32 Allenton Drive, Tallaght",Dublin,194000,No,No,Second-Hand Dwelling house /Apartment,"32 Allenton Dr, Ballycragh, Dublin 24, D24 V24N, Ireland"
2019-10-29,"15 An Fuaran, Dublin Road, Oranmore",Galway,345010,No,Yes,New Dwelling house /Apartment,"15 An Fuarán, Millplot, Oranmore, Co. Galway, Ireland"
2019-11-7,"CHERRYORCHARD, ENNISCORTHY, WEXFORD",Wexford,172000,No,No,Second-Hand Dwelling house /Apartment,"Cherryorchard, Enniscorthy, Co. Wexford, Ireland"
2018-10-31,"7 CONVENT VIEW, ATHY, KILDARE",Kildare,80000,No,No,Second-Hand Dwelling house /Apartment,"Saint Helenes, 7 Convent View, Athy, Co. Kildare, R14 E377, Ireland"
2019-4-30,"25 GRAND CANAL WHARF, SOUTH DOCK RD, RINGSEND DUBLIN 4",Dublin,425000,No,No,Second-Hand Dwelling house /Apartment,"Grand Canal Wharf, S Dock Rd, Dublin 4, Ireland"
2019-12-23,"66 THE MALTHOUSE, MARROWBONE LANE, DUBLIN 8",Dublin,204000,No,No,Second-Hand Dwelling house /Apartment,"The Malthouse, Marrowbone Ln, Saint Catherine's, Dublin 8, Ireland"
2021-5-10,"GERNONSTOWN, SLANE, MEATH",Meath,310000,No,No,Second-Hand Dwelling house /Apartment,"Gernonstown, Co. Meath, Ireland"
2021-8-11,"107 COLLEGE HILL, MULLINGAR, WESTMEATH",Westmeath,300000,No,No,Second-Hand Dwelling house /Apartment,"107 College Hill, Ballyglass, Mullingar, Co. Westmeath, N91 D4E2, Ireland"
2014-12-2,"10 GRATTAN TERRACE, DUNTAHEEN RD, FERMOY",Cork,60000,No,No,Second-Hand Dwelling house /Apartment,"Grattan Terrace, Duntaheen Rd, Duntahane, Fermoy, Co. Cork, Ireland"
2020-8-20,"23 Dodderbrook Lawn, Old Court Road, Ballycullen",Dublin,361233.48,No,Yes,New Dwelling house /Apartment,"Oldcourt Rd, Oldcourt, Dublin, Ireland"
2017-5-5,"THE SHOP, MAIN STREET, STONEYFORD",Kilkenny,22500,No,No,Second-Hand Dwelling house /Apartment,
2017-7-27,"13 RICHMOND HALL, MOUNT ST ANNES, MILLTOWN DUBLIN 6",Dublin,301762.11,No,Yes,New Dwelling house /Apartment,"Apartment 23, Richmond Hall, Milltown Ave, Mount St Annes, Dublin 6, Ireland"
2013-11-3,"106 Louisa Park, Station Road, Leixlip",Kildare,76500,No,No,Second-Hand Dwelling house /Apartment,"Louisa Park, Station Rd, Leixlip, Co. Kildare, Ireland"
2017-4-13,"Apartment 78 Neptune Block, Honeypark, Dun-Laoghaire",Dublin,308370.04,No,Yes,New Dwelling house /Apartment,"Honeypark, Dublin, Ireland"
2021-6-8,"ABBEY ST, BALLINROBE, MAYO",Mayo,125000,No,No,Second-Hand Dwelling house /Apartment,"Abbey St, Friarsquarter West, Co. Mayo, Ireland"
2016-8-2,"1 MCDERMOTT MEWS, GARDEN ST, BALLINA",Mayo,82000,No,No,Second-Hand Dwelling house /Apartment,"McDermott Mews, Ballina, Co. Mayo, Ireland"
2015-11-16,"12 THE MEWS, RUSHBROOKE LINKS BALLYNOE, COBH",Cork,90000,No,No,Second-Hand Dwelling house /Apartment,"Cobh, Co. Cork, Ireland"
2016-2-12,"INVER, BARNATRA, BALLINA",Mayo,140000,No,No,Second-Hand Dwelling house /Apartment,"Ballina, Co. Mayo, Ireland"
2014-9-7,"11 APARTMENT BLOCK, OXMANTOWN GREEN, BLACKHALL PLACE",Dublin,197885,No,No,Second-Hand Dwelling house /Apartment,"Apartment 1, Oxmantown Green, Blackhall Pl, Smithfield, Dublin 7, Ireland"
2016-12-20,"12 CABRA PARK, PHIBSBOROUGH, DUBLIN 7",Dublin,402000,No,No,Second-Hand Dwelling house /Apartment,"12 Cabra Park, Cabra East, Dublin 7, D07 W427, Ireland"
2018-8-3,"14 ANNFIELD VIEW, CARPENTERSTOWN RD, CASTLEKNOCK DUBLIN 15",Dublin,257500,No,No,Second-Hand Dwelling house /Apartment,"15 Carpenterstown Road, Carpenterstown, Castleknock, Co. Dublin, Ireland"
2016-4-2,"13 SUMMERSEAT GREEN, CLONEE, CO.MEATH",Meath,160000,No,Yes,New Dwelling house /Apartment,"13 Summerseat Green, Co. Meath, Ireland"
2018-12-12,"56 PEMBROKE LANE, DUBLIN 2, DUBLIN",Dublin,600000,No,No,Second-Hand Dwelling house /Apartment,"56 Pembroke Ln, Dublin, D02 KN59, Ireland"
2014-7-31,"CARRICK LODGE, 13 CARRICK TERRACE, RIALTO",Dublin,197000,No,No,Second-Hand Dwelling house /Apartment,"Carrick Lodge, 13 Carrick Terrace, Rialto, Dublin 8, D08 Y2R6, Ireland"
2014-6-17,"62 MOUNT PROSPECT DR, CLONTARF, DUBLIN 3",Dublin,541000,No,No,Second-Hand Dwelling house /Apartment,"62 Mount Prospect Dr, Clontarf, Dublin 3, D03 A394, Ireland"
2011-8-20,"Crosstown, Wexford",Wexford,260000,No,No,Second-Hand Dwelling house /Apartment,"Crosstown, Co. Wexford, Ireland"
2014-7-15,"29 Curragh Hall Green, Tyrellstown, Castleknock",Dublin,151900,No,No,Second-Hand Dwelling house /Apartment,"29 Curragh Hall Green, Tyrrelstown, Dublin, D15 H6XD, Ireland"
