DateofSale,Address,PostalCode,County,Price,NotFullMarketPrice,VATExclusive,DescriptionofProperty,PropertySizeDescription,lat,lng,address_types,formatted_address,transformed_address,YearMonth
2017-03-03,"86 MULLAGHMATT, MONAGHAN",,17,65000.0,1,0,1,,54.2406427,-6.9811991,64,"86 Mullaghmatt, Monaghan, Ireland",5212,201703
2020-12-03,"13 FABER GROVE, DUN LAOGHAIRE, DUBLIN",,5,320000.0,0,0,1,,53.28323409999999,-6.1569253,64,"13 Faber Grove, Dún Laoghaire, Dublin, A96 V8N4, Ireland",3441,202012
2010-09-07,"32 Allenton Drive, Tallaght",Dublin 24,5,194000.0,0,0,1,,53.2717572,-6.3529862,64,"32 Allenton Dr, Ballycragh, Dublin 24, D24 V24N, Ireland",1267,201009
2019-10-29,"15 An Fuaran, Dublin Road, Oranmore",,6,345010.0,0,1,0,,53.2695967,-8.9251211,64,"15 An Fuarán, Millplot, Oranmore, Co. Galway, Ireland",1296,201910
2019-11-07,"CHERRYORCHARD, ENNISCORTHY, WEXFORD",,24,172000.0,0,0,1,,52.5069324,-6.58767,63,"Cherryorchard, Enniscorthy, Co. Wexford, Ireland",532,201911
2018-10-31,"7 CONVENT VIEW, ATHY, KILDARE",,8,80000.0,0,0,1,,52.99392030000001,-6.979472899999999,64,"Saint Helenes, 7 Convent View, Athy, Co. Kildare, R14 E377, Ireland",4039,201810
2019-04-30,"25 GRAND CANAL WHARF, SOUTH DOCK RD, RINGSEND DUBLIN 4",Dublin 4,5,425000.0,0,0,1,,53.3423163,-6.2315578,62,"Grand Canal Wharf, S Dock Rd, Dublin 4, Ireland",2124,201904
2019-12-23,"66 THE MALTHOUSE, MARROWBONE LANE, DUBLIN 8",Dublin 8,5,204000.0,0,0,1,,53.3384198,-6.2876395,62,"The Malthouse, Marrowbone Ln, Saint Catherine's, Dublin 8, Ireland",4813,201912
2021-05-10,"GERNONSTOWN, SLANE, MEATH",,16,310000.0,0,0,1,,53.7220701,-6.5921024,63,"Gernonstown, Co. Meath, Ireland",415,202105
2021-08-11,"107 COLLEGE HILL, MULLINGAR, WESTMEATH",,23,300000.0,0,0,1,,53.5413185,-7.3583875,64,"107 College Hill, Ballyglass, Mullingar, Co. Westmeath, N91 D4E2, Ireland",2704,202108
2014-12-02,"10 GRATTAN TERRACE, DUNTAHEEN RD, FERMOY",,3,60000.0,0,0,1,,52.1354437,-8.2826606,62,"Grattan Terrace, Duntaheen Rd, Duntahane, Fermoy, Co. Cork, Ireland",6912,201412
2020-08-20,"23 Dodderbrook Lawn, Old Court Road, Ballycullen",,5,361233.48,0,1,0,,53.2700459,-6.341590699999999,29,"Oldcourt Rd, Oldcourt, Dublin, Ireland",5976,202008
2017-05-05,"THE SHOP, MAIN STREET, STONEYFORD",,9,22500.0,0,0,1,,52.822473642491516,-7.744852870130693,0,,0,201705
2017-07-27,"13 RICHMOND HALL, MOUNT ST ANNES, MILLTOWN DUBLIN 6",Dublin 6,5,301762.11,0,1,0,greater than or equal to 38 sq metres and less than 125 sq metres,53.3115075,-6.249276399999999,62,"Apartment 23, Richmond Hall, Milltown Ave, Mount St Annes, Dublin 6, Ireland",1057,201707
2013-11-03,"106 Louisa Park, Station Road, Leixlip",,8,76500.0,0,0,1,,53.37013959999999,-6.5047412,62,"Louisa Park, Station Rd, Leixlip, Co. Kildare, Ireland",5522,201311
2017-04-13,"Apartment 78 Neptune Block, Honeypark, Dun-Laoghaire",,5,308370.04,0,1,0,greater than or equal to 38 sq metres and less than 125 sq metres,53.280867,-6.1455281,58,"Honeypark, Dublin, Ireland",512,201704
2021-06-08,"ABBEY ST, BALLINROBE, MAYO",,15,125000.0,0,0,1,,53.6260415,-9.2193674,63,"Abbey St, Friarsquarter West, Co. Mayo, Ireland",6564,202106
2016-08-02,"1 MCDERMOTT MEWS, GARDEN ST, BALLINA",,15,82000.0,0,0,1,,54.1149444,-9.1595903,62,"McDermott Mews, Ballina, Co. Mayo, Ireland",5010,201608
2015-11-16,"12 THE MEWS, RUSHBROOKE LINKS BALLYNOE, COBH",,3,90000.0,0,0,1,,51.8503357,-8.294285799999999,57,"Cobh, Co. Cork, Ireland",400,201511
