DateofSale,Address,PostalCode,County,Price,NotFullMarketPrice,VATExclusive,DescriptionofProperty,PropertySizeDescription,lat,lng,address_types,YearMonth
2017-3-3,"86 MULLAGHMATT, MONAGHAN",,Monaghan,65000,Yes,No,Second-Hand Dwelling house /Apartment,,54.2406427,-6.9811991,street_address,201703
2020-12-3,"13 FABER GROVE, DUN LAOGHAIRE, DUBLIN",,Dublin,320000,No,No,Second-Hand Dwelling house /Apartment,,53.2832341,-6.1569253,street_address,202012
2010-9-7,"32 Allenton Drive, Tallaght",Dublin 24,Dublin,194000,No,No,Second-Hand Dwelling house /Apartment,,53.2717572,-6.3529862,street_address,201009
2019-10-29,"15 An Fuaran, Dublin Road, Oranmore",,Galway,345010,No,Yes,New Dwelling house /Apartment,,53.2695967,-8.9251211,street_address,201910
2019-11-7,"CHERRYORCHARD, ENNISCORTHY, WEXFORD",,Wexford,172000,No,No,Second-Hand Dwelling house /Apartment,,52.5069324,-6.58767,route,201911
2018-10-31,"7 CONVENT VIEW, ATHY, KILDARE",,Kildare,80000,No,No,Second-Hand Dwelling house /Apartment,,52.9939203,-6.9794729,street_address,201810
2019-4-30,"25 GRAND CANAL WHARF, SOUTH DOCK RD, RINGSEND DUBLIN 4",Dublin 4,Dublin,425000,No,No,Second-Hand Dwelling house /Apartment,,53.3423163,-6.2315578,premise,201904
2019-12-23,"66 THE MALTHOUSE, MARROWBONE LANE, DUBLIN 8",Dublin 8,Dublin,204000,No,No,Second-Hand Dwelling house /Apartment,,53.3384198,-6.2876395,premise,201912
2021-5-10,"GERNONSTOWN, SLANE, MEATH",,Meath,310000,No,No,Second-Hand Dwelling house /Apartment,,53.7220701,-6.5921024,route,202105
2021-8-11,"107 COLLEGE HILL, MULLINGAR, WESTMEATH",,Westmeath,300000,No,No,Second-Hand Dwelling house /Apartment,,53.5413185,-7.3583875,street_address,202108
2014-12-2,"10 GRATTAN TERRACE, DUNTAHEEN RD, FERMOY",,Cork,60000,No,No,Second-Hand Dwelling house /Apartment,,52.1354437,-8.2826606,premise,201412
2020-8-20,"23 Dodderbrook Lawn, Old Court Road, Ballycullen",,Dublin,361233.48,No,Yes,New Dwelling house /Apartment,,53.2700459,-6.3415907,establishment-general_contractor-point_of_interest,202008
2017-5-5,"THE SHOP, MAIN STREET, STONEYFORD",,Kilkenny,22500,No,No,Second-Hand Dwelling house /Apartment,,52.82247364,-7.74485287,,201705
2017-7-27,"13 RICHMOND HALL, MOUNT ST ANNES, MILLTOWN DUBLIN 6",Dublin 6,Dublin,301762.11,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.3115075,-6.2492764,premise,201707
2013-11-3,"106 Louisa Park, Station Road, Leixlip",,Kildare,76500,No,No,Second-Hand Dwelling house /Apartment,,53.3701396,-6.5047412,premise,201311
2017-4-13,"Apartment 78 Neptune Block, Honeypark, Dun-Laoghaire",,Dublin,308370.04,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.280867,-6.1455281,neighborhood-political,201704
2021-6-8,"ABBEY ST, BALLINROBE, MAYO",,Mayo,125000,No,No,Second-Hand Dwelling house /Apartment,,53.6260415,-9.2193674,route,202106
2016-8-2,"1 MCDERMOTT MEWS, GARDEN ST, BALLINA",,Mayo,82000,No,No,Second-Hand Dwelling house /Apartment,,54.1149444,-9.1595903,premise,201608
2015-11-16,"12 THE MEWS, RUSHBROOKE LINKS BALLYNOE, COBH",,Cork,90000,No,No,Second-Hand Dwelling house /Apartment,,51.8503357,-8.2942858,locality-political,201511
2016-2-12,"INVER, BARNATRA, BALLINA",,Mayo,140000,No,No,Second-Hand Dwelling house /Apartment,,54.1149482,-9.1550693,locality-political,201602
2014-9-7,"11 APARTMENT BLOCK, OXMANTOWN GREEN, BLACKHALL PLACE",,Dublin,197885,No,No,Second-Hand Dwelling house /Apartment,,53.3483576,-6.2816044,premise,201409
2016-12-20,"12 CABRA PARK, PHIBSBOROUGH, DUBLIN 7",Dublin 7,Dublin,402000,No,No,Second-Hand Dwelling house /Apartment,,53.3621164,-6.2773623,street_address,201612
2018-8-3,"14 ANNFIELD VIEW, CARPENTERSTOWN RD, CASTLEKNOCK DUBLIN 15",Dublin 15,Dublin,257500,No,No,Second-Hand Dwelling house /Apartment,,53.3760977,-6.3909926,street_address,201808
2016-4-2,"13 SUMMERSEAT GREEN, CLONEE, CO.MEATH",,Meath,160000,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.407742,-6.4445028,street_address,201604
2018-12-12,"56 PEMBROKE LANE, DUBLIN 2, DUBLIN",Dublin 2,Dublin,600000,No,No,Second-Hand Dwelling house /Apartment,,53.3364575,-6.2516719,street_address,201812
2014-7-31,"CARRICK LODGE, 13 CARRICK TERRACE, RIALTO",,Dublin,197000,No,No,Second-Hand Dwelling house /Apartment,,53.3358641,-6.2932673,premise,201407
2014-6-17,"62 MOUNT PROSPECT DR, CLONTARF, DUBLIN 3",Dublin 3,Dublin,541000,No,No,Second-Hand Dwelling house /Apartment,,53.368445,-6.1886244,street_address,201406
2011-8-20,"Crosstown, Wexford",,Wexford,260000,No,No,Second-Hand Dwelling house /Apartment,,52.3554415,-6.463532,neighborhood-political,201108
2014-7-15,"29 Curragh Hall Green, Tyrellstown, Castleknock",Dublin 15,Dublin,151900,No,No,Second-Hand Dwelling house /Apartment,,53.4151547,-6.3875499,street_address,201407
2018-10-12,"KILMAGLUSH, FENAGH RD, MYSHALL",,Carlow,300000,No,No,Second-Hand Dwelling house /Apartment,,52.7146188,-6.821348,neighborhood-political,201810
2019-5-4,"10 SLIEVEKEILE RD, WATERFORD CITY, WATERFORD",,Waterford,90000,No,No,Second-Hand Dwelling house /Apartment,,52.2543952,-7.1249043,street_address,201905
2016-6-9,"146 ACHA BHILE, LAHINCH ROAD",,Clare,68281,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,52.8587411,-9.0120637,premise,201606
2015-8-31,"491, Collins Avenue, Whitehall",Dublin 9,Dublin,465000,No,No,Second-Hand Dwelling house /Apartment,,53.3831441,-6.2469907,street_address,201508
2020-12-22,"29 COILL AOIBHINN, NEWTOWN RD, WEXFORD",,Wexford,345000,No,No,Second-Hand Dwelling house /Apartment,,52.3424518,-6.5049572,street_address,202012
2018-4-5,"55 THE COTSWALDS, CASTLEREDMOND, MIDLETON",,Cork,310000,No,No,Second-Hand Dwelling house /Apartment,,51.9048306,-8.1691485,street_address,201804
2015-12-17,"42 RED ARCHES DR, THE COAST, BALDOYLE DUBLIN 13",Dublin 13,Dublin,225000,No,No,Second-Hand Dwelling house /Apartment,,53.4020553,-6.1400771,street_address,201512
2015-1-19,"33 ST BRENDANS COTTAGES, IRISHTOWN, DUBLIN 4",Dublin 4,Dublin,296500,No,No,Second-Hand Dwelling house /Apartment,,53.3405174,-6.2237604,street_address,201501
2016-9-27,"3 Phelan Avenue, Royal Canal Park, Ashtown",Dublin 15,Dublin,308400,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,53.3761976,-6.3150048,street_address,201609
2015-12-18,"49 RIVERWALK, MAIN ST, CASTLEREA",,Roscommon,20500,No,No,Second-Hand Dwelling house /Apartment,,53.7686571,-8.4924537,locality-political,201512
2014-6-8,"Apartment 19, The Reeks Gateway, Killarney",,Kerry,32727,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,52.0681869,-9.5171266,premise,201406
2012-8-31,"13 Martello Court, Portmarnock",,Dublin,400000,No,No,Second-Hand Dwelling house /Apartment,,53.4347995,-6.1355539,street_address,201208
2010-8-30,"No. 7 Arranmore View, Roshin Acres, Burtonport",,Donegal,133762.11,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,54.9874345,-8.5350585,establishment-natural_feature,201008
2020-12-2,"17 SOMERTON PARK, BALLINLOUGH, CORK",,Cork,290000,No,No,Second-Hand Dwelling house /Apartment,,51.8876313,-8.4421162,street_address,202012
2020-10-12,"THE DIAMOND, CASTLEFIN, LIFFORD",,Donegal,67000,No,No,Second-Hand Dwelling house /Apartment,,54.802999,-7.5895814,locality-political,202010
2018-5-29,"38 St Edmunds Grove, Loman&#039;s Road",,Dublin,420000,No,No,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,52.82247364,-7.74485287,,201805
2016-2-17,"APT 26, ABBEY COURT, WEXFORD",,Wexford,113000,No,No,Second-Hand Dwelling house /Apartment,,52.3404204,-6.4658583,premise,201602
2017-12-21,"2 CASTLE VILLAGE PARK, CELBRIDGE, KILDARE",,Kildare,305000,No,No,Second-Hand Dwelling house /Apartment,,53.3517488,-6.5475764,street_address,201712
2017-3-15,"34 FINN ST, DUBLIN 7, DUBLIN",Dublin 7,Dublin,255000,No,No,Second-Hand Dwelling house /Apartment,,53.3529911,-6.2907442,street_address,201703
2019-5-20,"58 FINLAY PARK, OLD CARRAGH ROAD, NAAS",,Kildare,348017,No,Yes,New Dwelling house /Apartment,,53.2205272,-6.673657,street_address,201905
2012-9-24,"1 Lambourne Village, Clontarf",,Dublin,140000,No,No,Second-Hand Dwelling house /Apartment,,53.3644733,-6.2079402,street_address,201209
2021-4-23,"304 CUBES 3, BEACON SOUTH QUARTER, BLACKTHORN RD",Dublin 18,Dublin,383500,No,No,Second-Hand Dwelling house /Apartment,,53.2775421,-6.2166745,establishment-lodging-point_of_interest-shopping_mall,202104
2020-8-9,"29 TI NA RI, ATHENRY RD, LOUGHREA",,Galway,262000,No,No,Second-Hand Dwelling house /Apartment,,53.2037947,-8.5844394,street_address,202008
2020-11-19,"4 DRISARDEN, GORTLEE, LETTERKENNY",,Donegal,125000,No,No,Second-Hand Dwelling house /Apartment,,54.9569281,-7.7200698,street_address,202011
2017-10-31,"8 CARRICK CRESCENT, BALLYBOFEY, DONEGAL",,Donegal,120000,Yes,No,Second-Hand Dwelling house /Apartment,,54.7930934,-7.7962852,street_address,201710
2013-6-9,"RAHEEN, BANTRY",,Cork,119000,No,No,Second-Hand Dwelling house /Apartment,,51.6800803,-9.4525763,locality-political,201306
